0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2022-05-03,10:09:14.182,0,0,0,8,5,7,7,6,7,Accel-X-Y-Z(m/s^2),9.2,-1.51,2.47,Magnetic-X-Y-Z(gauss),61.02,16.77,-1.75,Gyro-X-Y-Z(dps),-0.07,-0.1,0.04
2022-05-03,10:09:14.203,0,0,0,7,7,6,7,6,7,Accel-X-Y-Z(m/s^2),9.15,-1.33,2.52,Magnetic-X-Y-Z(gauss),61.13,16.48,-2.34,Gyro-X-Y-Z(dps),-0.08,-0.09,0.04
2022-05-03,10:09:14.227,0,0,0,7,6,7,6,7,7,Accel-X-Y-Z(m/s^2),9.18,-1.21,2.58,Magnetic-X-Y-Z(gauss),61.13,16.07,-1.75,Gyro-X-Y-Z(dps),-0.07,-0.08,0.05
2022-05-03,10:09:14.251,0,0,0,7,8,8,7,7,7,Accel-X-Y-Z(m/s^2),9.14,-1.31,2.58,Magnetic-X-Y-Z(gauss),61.37,16.01,-1.58,Gyro-X-Y-Z(dps),-0.07,-0.07,0.05
2022-05-03,10:09:14.275,0,0,0,8,6,7,7,7,7,Accel-X-Y-Z(m/s^2),9.34,-1.41,2.53,Magnetic-X-Y-Z(gauss),61.78,16.48,-1.93,Gyro-X-Y-Z(dps),-0.07,-0.07,0.04
2022-05-03,10:09:14.298,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.45,-1.48,2.56,Magnetic-X-Y-Z(gauss),61.13,16.36,-0.53,Gyro-X-Y-Z(dps),-0.05,-0.09,0.01
2022-05-03,10:09:14.321,0,0,0,7,8,7,7,6,7,Accel-X-Y-Z(m/s^2),9.35,-1.62,2.54,Magnetic-X-Y-Z(gauss),61.6,16.31,-1.52,Gyro-X-Y-Z(dps),-0.04,-0.09,-0.02
2022-05-03,10:09:14.345,0,0,0,8,7,7,6,6,6,Accel-X-Y-Z(m/s^2),9.29,-1.59,2.53,Magnetic-X-Y-Z(gauss),61.19,16.42,-1.93,Gyro-X-Y-Z(dps),-0.03,-0.08,-0.0
2022-05-03,10:09:14.370,0,0,0,7,6,8,7,7,7,Accel-X-Y-Z(m/s^2),9.38,-1.4,2.46,Magnetic-X-Y-Z(gauss),61.84,16.31,-2.16,Gyro-X-Y-Z(dps),-0.04,-0.09,-0.0
2022-05-03,10:09:14.394,0,0,0,7,7,7,6,8,7,Accel-X-Y-Z(m/s^2),9.26,-1.34,2.49,Magnetic-X-Y-Z(gauss),61.66,16.42,-2.4,Gyro-X-Y-Z(dps),-0.04,-0.07,0.01
2022-05-03,10:09:14.418,0,0,0,8,7,7,7,7,6,Accel-X-Y-Z(m/s^2),9.24,-1.23,2.54,Magnetic-X-Y-Z(gauss),61.6,16.77,-2.1,Gyro-X-Y-Z(dps),-0.06,-0.08,0.03
2022-05-03,10:09:14.442,0,0,0,8,7,7,6,6,7,Accel-X-Y-Z(m/s^2),9.27,-1.33,2.5,Magnetic-X-Y-Z(gauss),61.13,16.01,-2.1,Gyro-X-Y-Z(dps),-0.07,-0.08,0.04
2022-05-03,10:09:14.466,0,0,0,8,7,7,6,7,8,Accel-X-Y-Z(m/s^2),9.45,-1.47,2.48,Magnetic-X-Y-Z(gauss),61.89,15.96,-2.28,Gyro-X-Y-Z(dps),-0.07,-0.08,0.03
2022-05-03,10:09:14.489,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.43,-1.57,2.5,Magnetic-X-Y-Z(gauss),61.02,15.96,-2.4,Gyro-X-Y-Z(dps),-0.07,-0.08,0.02
2022-05-03,10:09:14.513,0,0,0,8,6,7,7,6,7,Accel-X-Y-Z(m/s^2),9.36,-1.54,2.35,Magnetic-X-Y-Z(gauss),61.6,16.72,-2.16,Gyro-X-Y-Z(dps),-0.05,-0.08,0.01
2022-05-03,10:09:14.537,0,0,0,7,7,6,6,8,7,Accel-X-Y-Z(m/s^2),9.27,-1.46,2.61,Magnetic-X-Y-Z(gauss),61.6,16.48,-2.45,Gyro-X-Y-Z(dps),-0.04,-0.08,0.01
2022-05-03,10:09:14.561,0,0,0,8,7,6,7,6,7,Accel-X-Y-Z(m/s^2),9.38,-1.39,2.64,Magnetic-X-Y-Z(gauss),61.84,16.01,-2.22,Gyro-X-Y-Z(dps),-0.05,-0.08,0.02
2022-05-03,10:09:14.585,0,0,0,8,6,6,7,8,7,Accel-X-Y-Z(m/s^2),9.25,-1.36,2.47,Magnetic-X-Y-Z(gauss),61.37,16.07,-1.69,Gyro-X-Y-Z(dps),-0.07,-0.06,0.04
2022-05-03,10:09:14.609,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.17,-1.25,2.35,Magnetic-X-Y-Z(gauss),61.37,15.43,-1.46,Gyro-X-Y-Z(dps),-0.09,-0.05,0.07
2022-05-03,10:09:14.633,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.43,-1.25,2.42,Magnetic-X-Y-Z(gauss),61.48,16.01,-1.17,Gyro-X-Y-Z(dps),-0.09,-0.07,0.07
2022-05-03,10:09:14.657,0,0,0,6,7,7,7,7,6,Accel-X-Y-Z(m/s^2),9.39,-1.41,2.48,Magnetic-X-Y-Z(gauss),61.31,16.13,-2.22,Gyro-X-Y-Z(dps),-0.09,-0.08,0.06
2022-05-03,10:09:15.874,0,0,0,8,6,7,7,6,7,Accel-X-Y-Z(m/s^2),9.46,-1.1,2.51,Magnetic-X-Y-Z(gauss),59.73,14.79,-1.64,Gyro-X-Y-Z(dps),-0.07,-0.09,0.04
2022-05-03,10:09:15.899,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.39,-0.98,2.66,Magnetic-X-Y-Z(gauss),59.67,14.67,-1.64,Gyro-X-Y-Z(dps),-0.05,-0.08,0.03
2022-05-03,10:09:15.922,0,0,0,8,7,7,6,6,7,Accel-X-Y-Z(m/s^2),9.35,-0.93,2.42,Magnetic-X-Y-Z(gauss),60.61,14.2,-1.81,Gyro-X-Y-Z(dps),-0.07,-0.08,0.05
2022-05-03,10:09:15.946,0,0,0,7,8,7,7,7,6,Accel-X-Y-Z(m/s^2),9.4,-0.85,2.49,Magnetic-X-Y-Z(gauss),59.44,14.61,-0.88,Gyro-X-Y-Z(dps),-0.07,-0.05,0.09
2022-05-03,10:09:15.970,0,0,0,8,7,5,7,6,7,Accel-X-Y-Z(m/s^2),9.31,-0.7,2.48,Magnetic-X-Y-Z(gauss),59.79,14.03,-1.4,Gyro-X-Y-Z(dps),-0.09,-0.04,0.11
2022-05-03,10:09:15.994,0,0,0,8,7,7,5,7,8,Accel-X-Y-Z(m/s^2),9.27,-0.76,2.44,Magnetic-X-Y-Z(gauss),59.79,13.38,-1.29,Gyro-X-Y-Z(dps),-0.09,-0.05,0.06
2022-05-03,10:09:16.018,0,0,0,8,7,7,7,6,7,Accel-X-Y-Z(m/s^2),9.43,-0.91,2.27,Magnetic-X-Y-Z(gauss),59.67,14.26,-0.64,Gyro-X-Y-Z(dps),-0.08,-0.05,0.05
2022-05-03,10:09:16.041,0,0,0,8,7,7,6,7,7,Accel-X-Y-Z(m/s^2),9.53,-0.88,2.32,Magnetic-X-Y-Z(gauss),60.37,14.44,-1.05,Gyro-X-Y-Z(dps),-0.03,-0.06,0.04
2022-05-03,10:09:16.065,0,0,0,8,7,6,7,7,7,Accel-X-Y-Z(m/s^2),9.53,-1.06,2.43,Magnetic-X-Y-Z(gauss),59.85,14.14,-0.29,Gyro-X-Y-Z(dps),-0.0,-0.07,0.0
2022-05-03,10:09:16.089,0,0,0,8,6,7,6,7,7,Accel-X-Y-Z(m/s^2),9.49,-1.13,2.55,Magnetic-X-Y-Z(gauss),60.02,14.9,-1.81,Gyro-X-Y-Z(dps),-0.02,-0.08,0.02
2022-05-03,10:09:16.113,0,0,0,7,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.43,-0.87,2.55,Magnetic-X-Y-Z(gauss),60.08,14.79,-0.99,Gyro-X-Y-Z(dps),-0.03,-0.09,0.03
2022-05-03,10:09:16.137,0,0,0,8,7,7,6,7,8,Accel-X-Y-Z(m/s^2),9.36,-0.83,2.46,Magnetic-X-Y-Z(gauss),60.32,14.14,-1.75,Gyro-X-Y-Z(dps),-0.05,-0.09,0.04
2022-05-03,10:09:16.161,0,0,0,8,6,7,7,8,7,Accel-X-Y-Z(m/s^2),9.3,-0.7,2.42,Magnetic-X-Y-Z(gauss),60.43,14.09,-1.17,Gyro-X-Y-Z(dps),-0.06,-0.09,0.05
2022-05-03,10:09:16.185,0,0,0,7,7,7,7,7,6,Accel-X-Y-Z(m/s^2),9.46,-0.69,2.43,Magnetic-X-Y-Z(gauss),59.38,14.2,-1.17,Gyro-X-Y-Z(dps),-0.04,-0.1,0.03
2022-05-03,10:09:16.209,0,0,0,7,7,7,7,7,6,Accel-X-Y-Z(m/s^2),9.39,-0.85,2.57,Magnetic-X-Y-Z(gauss),60.49,13.79,-1.23,Gyro-X-Y-Z(dps),-0.04,-0.09,0.01
2022-05-03,10:09:16.233,0,0,0,7,7,6,7,7,8,Accel-X-Y-Z(m/s^2),9.38,-0.93,2.44,Magnetic-X-Y-Z(gauss),60.78,14.44,-1.75,Gyro-X-Y-Z(dps),-0.05,-0.09,0.01
2022-05-03,10:09:16.257,0,0,0,8,7,6,7,7,7,Accel-X-Y-Z(m/s^2),9.52,-1.0,2.4,Magnetic-X-Y-Z(gauss),59.79,14.9,-1.4,Gyro-X-Y-Z(dps),-0.05,-0.11,0.02
2022-05-03,10:09:16.281,0,0,0,8,8,7,6,7,8,Accel-X-Y-Z(m/s^2),9.38,-1.06,2.4,Magnetic-X-Y-Z(gauss),60.02,14.38,-2.28,Gyro-X-Y-Z(dps),-0.05,-0.11,0.04
2022-05-03,10:09:16.304,0,0,0,8,7,8,8,6,8,Accel-X-Y-Z(m/s^2),9.43,-0.86,2.42,Magnetic-X-Y-Z(gauss),60.02,13.38,-1.46,Gyro-X-Y-Z(dps),-0.05,-0.12,0.06
2022-05-03,10:09:16.328,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.36,-0.71,2.56,Magnetic-X-Y-Z(gauss),59.73,13.91,-1.93,Gyro-X-Y-Z(dps),-0.04,-0.11,0.05
2022-05-03,10:09:16.352,0,0,0,7,7,7,7,6,8,Accel-X-Y-Z(m/s^2),9.43,-0.62,2.63,Magnetic-X-Y-Z(gauss),60.32,13.91,-1.87,Gyro-X-Y-Z(dps),-0.04,-0.1,0.04
2022-05-03,10:09:16.376,0,0,0,7,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.3,-0.62,2.48,Magnetic-X-Y-Z(gauss),60.32,13.68,-1.4,Gyro-X-Y-Z(dps),-0.04,-0.1,0.02
2022-05-03,10:09:16.400,0,0,0,2,7,10,6,6,8,Accel-X-Y-Z(m/s^2),9.49,-0.76,2.6,Magnetic-X-Y-Z(gauss),59.85,13.73,-1.93,Gyro-X-Y-Z(dps),-0.02,-0.1,0.02
2022-05-03,10:09:16.424,0,0,0,8,7,7,7,7,7,Accel-X-Y-Z(m/s^2),9.42,-1.0,2.55,Magnetic-X-Y-Z(gauss),60.32,13.85,-1.23,Gyro-X-Y-Z(dps),-0.02,-0.08,0.02
2022-05-03,10:09:16.448,0,0,0,7,7,7,8,7,6,Accel-X-Y-Z(m/s^2),9.47,-0.99,2.47,Magnetic-X-Y-Z(gauss),59.85,14.61,-1.87,Gyro-X-Y-Z(dps),-0.02,-0.08,0.04
2022-05-03,10:09:16.471,0,0,0,7,7,8,7,7,7,Accel-X-Y-Z(m/s^2),9.48,-1.0,2.5,Magnetic-X-Y-Z(gauss),59.85,13.85,-1.34,Gyro-X-Y-Z(dps),-0.03,-0.1,0.05
